"table_name","candidate_class","status","reason","clinic_id_contract","public_surface_candidate","owner_decision_required"
"patient_outreach_campaigns","A_TENANT_CANONICAL","DRAFT_SPEC_CANDIDATE","Spec section 6.1 candidate","clinic_id NOT NULL","false",""
"patient_outreach_recipients","A_TENANT_CANONICAL","DRAFT_SPEC_CANDIDATE","Spec section 6.1 candidate","clinic_id NOT NULL","false",""
"patients","UNKNOWN","BLOCK_UNCLASSIFIED","Not explicitly classified by spec section 6","clinic_id NULLABLE","false","classification owner required"
"profiles","A_TENANT_CANONICAL","DRAFT_SPEC_CANDIDATE","Spec section 6.1 candidate","clinic_id NULLABLE","false",""
"registered_devices","UNKNOWN","BLOCK_UNCLASSIFIED","Not explicitly classified by spec section 6","clinic_id NOT NULL","false","classification owner required"
"reservation_history","A_TENANT_CANONICAL","DRAFT_SPEC_CANDIDATE","Spec section 6.1 candidate","clinic_id NOT NULL","false",""
"reservation_notifications","A_TENANT_CANONICAL","DRAFT_SPEC_CANDIDATE","Spec section 6.1 candidate","clinic_id NOT NULL","false",""
"reservations","A_TENANT_CANONICAL","DRAFT_SPEC_CANDIDATE","Spec section 6.1 candidate","clinic_id NOT NULL","false",""
"resources","A_TENANT_CANONICAL","DRAFT_SPEC_CANDIDATE","Spec section 6.1 candidate","clinic_id NOT NULL","true",""
"revenue_contexts","UNKNOWN","BLOCK_UNCLASSIFIED","Not explicitly classified by spec section 6","NO clinic_id","false","classification owner required"
"revenue_estimate_lines","UNKNOWN","BLOCK_UNCLASSIFIED","Not explicitly classified by spec section 6","clinic_id NOT NULL","false","classification owner required"
"revenue_estimate_overrides","UNKNOWN","BLOCK_UNCLASSIFIED","Not explicitly classified by spec section 6","clinic_id NOT NULL","false","classification owner required"
"revenue_estimate_warnings","UNKNOWN","BLOCK_UNCLASSIFIED","Not explicitly classified by spec section 6","clinic_id NOT NULL","false","classification owner required"
"revenue_estimates","UNKNOWN","BLOCK_UNCLASSIFIED","Not explicitly classified by spec section 6","clinic_id NOT NULL","false","classification owner required"
"revenues","E_LEGACY_QUARANTINE","DRAFT_SPEC_CANDIDATE","Spec section 6.5 candidate","clinic_id NULLABLE","false","retention/quarantine owner decision"
"security_alerts","UNKNOWN","BLOCK_UNCLASSIFIED","Not explicitly classified by spec section 6","clinic_id NULLABLE","false","classification owner required"
"security_events","UNKNOWN","BLOCK_UNCLASSIFIED","Not explicitly classified by spec section 6","clinic_id NULLABLE","false","classification owner required"
"session_policies","UNKNOWN","BLOCK_UNCLASSIFIED","Not explicitly classified by spec section 6","clinic_id NOT NULL","false","classification owner required"
"shift_request_audit_logs","UNKNOWN","BLOCK_UNCLASSIFIED","Not explicitly classified by spec section 6","clinic_id NOT NULL","false","classification owner required"
"shift_request_periods","UNKNOWN","BLOCK_UNCLASSIFIED","Not explicitly classified by spec section 6","clinic_id NOT NULL","false","classification owner required"
"shift_requests","A_TENANT_CANONICAL","DRAFT_SPEC_CANDIDATE","Spec section 6.1 candidate","clinic_id NOT NULL","false",""
"staff","A_TENANT_CANONICAL","DRAFT_SPEC_CANDIDATE","Spec section 6.1 candidate","clinic_id NULLABLE","false",""
"staff_clinic_memberships","UNKNOWN","BLOCK_UNCLASSIFIED","Not explicitly classified by spec section 6","clinic_id NOT NULL","false","classification owner required"
"staff_invites","UNKNOWN","BLOCK_UNCLASSIFIED","Not explicitly classified by spec section 6","clinic_id NOT NULL","true","classification owner required"
"staff_performance","UNKNOWN","BLOCK_UNCLASSIFIED","Not explicitly classified by spec section 6","clinic_id NULLABLE","false","classification owner required"
"staff_preferences","A_TENANT_CANONICAL","DRAFT_SPEC_CANDIDATE","Spec section 6.1 candidate","clinic_id NOT NULL","false",""
"staff_profiles","UNKNOWN","BLOCK_UNCLASSIFIED","Not explicitly classified by spec section 6","NO clinic_id","false","classification owner required"
"staff_shifts","A_TENANT_CANONICAL","DRAFT_SPEC_CANDIDATE","Spec section 6.1 candidate","clinic_id NOT NULL","false",""
"stripe_webhook_events","UNKNOWN","BLOCK_UNCLASSIFIED","Not explicitly classified by spec section 6","NO clinic_id","false","classification owner required"
"subscriptions","UNKNOWN","BLOCK_UNCLASSIFIED","Not explicitly classified by spec section 6","NO clinic_id","false","classification owner required"
"treatment_menu_records","E_LEGACY_QUARANTINE","DRAFT_SPEC_CANDIDATE","Spec section 6.5 candidate","NO clinic_id","false","retention/quarantine owner decision"
"treatments","E_LEGACY_QUARANTINE","DRAFT_SPEC_CANDIDATE","Spec section 6.5 candidate","clinic_id NOT NULL","false","retention/quarantine owner decision"
"user_mfa_settings","UNKNOWN","BLOCK_UNCLASSIFIED","Not explicitly classified by spec section 6","clinic_id NOT NULL","false","classification owner required"
"user_permissions","A_TENANT_CANONICAL","DRAFT_SPEC_CANDIDATE","Spec section 6.1 candidate","clinic_id NULLABLE","false",""
"user_sessions","UNKNOWN","BLOCK_UNCLASSIFIED","Not explicitly classified by spec section 6","clinic_id NOT NULL","false","classification owner required"
"visit_stage_definitions","UNKNOWN","BLOCK_UNCLASSIFIED","Not explicitly classified by spec section 6","NO clinic_id","false","classification owner required"
"visits","E_LEGACY_QUARANTINE","DRAFT_SPEC_CANDIDATE","Spec section 6.5 candidate","clinic_id NULLABLE","false","retention/quarantine owner decision"
